id,name,avg_resp_time,avg # comms per req,total pages,total requests,# awaiting response,# awaiting appeal,# fix required,# payment required,# rejected,# no responsive docs,# completed,# partially completed,# withdrawn
1,"Suffolk County Sheriff's Department, Suffolk County, MA",664,19,55,15,10,0,4,0,1,6,0,0,0
2,"Traffic, Parking & Transportation, Cambridge, MA",0,5,1,2,0,0,0,0,0,0,0,0,0
3,"Office of Michael P. Ross, Boston, MA",0,1,0,2,0,0,0,0,0,0,0,0,0
6,"Central Intelligence Agency, United States of America",284,7,5180,517,409,7,68,22,159,65,64,0,0
7,"Department of Defense, Office of the Secretary of Defense, United States of America",343,9,3779,181,177,3,59,4,20,24,40,3,1
8,"Department of Homeland Security, Office of Intelligence & Analysis, United States of America",427,8,4891,82,6,2,33,1,5,17,18,0,3
9,"Department of Homeland Security, United States of America",187,7,10503,281,193,5,156,4,21,37,67,4,3
10,"Federal Bureau of Investigation, United States of America",272,8,155693,2121,3679,58,424,178,258,780,785,34,7
11,"Mayor's Office, Boston, MA",85,6,16538,75,48,3,10,9,0,21,36,2,1
12,"Executive Office for United States Attorneys, United States of America",259,16,423,34,24,1,22,0,7,6,4,0,0
14,"U.S. Department of State, United States of America",552,16,15959,329,1181,1,165,12,21,27,152,23,2
15,"Department of Energy, United States of America",320,9,1904,48,67,0,41,2,0,9,33,4,0
17,"National Security Agency, United States of America",272,10,4034,398,300,23,70,16,89,65,74,8,0
18,"Department of Transitional Assistance, Massachusetts",45,4,5,6,0,0,0,0,0,1,0,0,0
19,"Department of Public Works, Somerville, MA",49,7,636,6,0,0,1,2,0,0,1,0,0
20,"George Bush Presidential Library, United States of America",6,9,23,4,1,0,4,4,0,0,1,0,1
21,"William J. Clinton Presidential Library, United States of America",365,12,175,11,12,0,2,1,0,2,4,0,0
22,"Ronald Reagan Presidential Library, United States of America",446,5,381,17,5,0,15,1,0,2,2,0,0
23,"United States Central Command - CENTCOM, United States of America",498,10,1072,43,24,0,21,6,6,7,24,0,1
24,"Defense Intelligence Agency, United States of America",490,20,375,46,198,0,4,1,3,9,22,0,0
25,"Army - United States Department of the Army, United States of America",458,12,441,50,12,1,14,0,4,4,14,1,2
26,"Office of Consumer Affairs and Business Regulation, Massachusetts",11,4,329,3,0,0,0,0,0,1,4,0,0
27,"Marines - United States Marine Corps, USMC, United States of America",419,9,4094,87,41,4,31,1,2,10,49,3,4
28,"Cambridge Animal Commission, Cambridge, MA",2,7,0,1,0,0,0,0,0,0,0,0,0
29,"Boston Assessing Department, Boston, MA",0,4,0,3,0,0,5,0,0,0,0,0,0
30,"Election Department, Somerville, MA",111,8,332,2,0,0,0,0,0,0,0,0,0
31,"Department of Education, Massachusetts",45,5,5705,24,6,0,6,0,1,3,16,2,0
32,"United States Postal Service, United States of America",146,8,1543,57,47,0,12,6,9,4,16,0,0
33,"General Services Administration, United States of America",173,7,1640,50,34,1,27,0,3,6,13,3,0
34,"Traffic and Parking, Somerville, MA",131,9,551,4,0,0,1,0,0,0,0,0,0
35,"Nixon Presidential Library & Museum, United States of America",33,2,0,6,0,0,3,1,0,1,0,0,0
36,"Lyndon Baines Johnson Library & Museum, United States of America",30,3,57,5,0,0,1,0,0,0,3,0,0
37,"John F. Kennedy Presidential Library & Museum, United States of America",36,2,4,2,0,0,0,0,0,0,1,0,0
38,"United States Customs and Border Protection, United States of America",329,14,1308,132,96,5,53,1,13,16,31,2,1
39,"Transportation Security Administration, United States of America",617,18,1658,73,81,1,45,0,6,10,29,0,0
41,"Bureau of Prisons, United States of America",328,17,3030,92,358,2,48,4,15,17,27,1,0
42,"Somerville Police Department, Somerville, MA",36,8,167,23,3,1,2,3,3,3,3,0,0
43,"Information Technology, Somerville, MA",19,9,2,2,0,0,0,2,0,0,0,0,0
44,"U.S. Department of Education, United States of America",253,10,555,39,13,1,12,0,3,6,12,2,0
46,"Federal Communications Commission, United States of America",101,4,10805,227,125,2,54,1,4,49,111,4,4
47,"Office of Government Ethics, United States of America",295,5,366,16,2,0,1,0,1,3,2,0,0
48,"Census Bureau, Data Preparation Division, United States of America",0,25,19,2,0,0,0,0,0,0,0,0,0
49,"Department of Justice, United States Marshals, United States of America",109,7,9646,96,101,10,11,2,10,27,58,2,0
53,"Smithsonian Institution Office of Inspector General, United States of America",583,4,55,3,0,0,0,0,0,1,2,0,0
54,"Department of Homeland Security, Under Secretary for National Protection and Programs, United States of America",269,12,109,15,12,0,14,0,0,2,5,0,0
57,"Office of the Director of National Intelligence, United States of America",324,12,706,79,144,3,8,0,12,20,28,0,0
58,"United States Agency for International Development, United States of America",212,13,1364,38,35,0,32,0,2,3,10,1,4
59,"Department of Justice, Office of Information Policy, United States of America",433,17,3894,86,81,1,17,0,1,11,28,8,0
60,"Department of Agriculture, United States of America",339,11,2717,46,41,0,29,0,4,3,23,1,2
61,"US Trade Representative, United States of America",144,7,3649,16,6,0,4,0,1,1,6,0,0
62,"Department of Transportation, United States of America",265,9,2012,27,39,0,11,0,0,8,16,1,0
63,"Department of Labor, United States of America",123,9,1726,31,26,0,16,3,0,5,16,0,1
64,"Department of the Interior, United States of America",285,5,766,33,1,0,11,3,1,5,14,1,0
65,"Department of Commerce, United States of America",308,9,5208,26,38,1,22,1,1,4,18,5,0
66,"Federal Trade Commission, United States of America",53,4,7609,192,161,0,29,0,8,31,156,1,5
67,"Department of Transportation, Office of the Inspector General, United States of America",272,9,645,9,12,1,3,0,0,1,11,0,0
68,"Federal Aviation Administration, United States of America",307,13,4443,88,102,2,58,10,4,14,53,3,0
69,"U.S. Office of Management and Budget, United States of America",174,8,555,20,16,0,1,0,1,3,7,0,0
70,"National Park Service, United States of America",105,7,2013,46,25,0,16,4,2,13,28,6,0
71,"United States Secret Service, United States of America",584,14,1356,116,87,0,47,4,6,23,31,1,0
73,"Massachusetts State Lottery, Massachusetts",116,6,901,13,5,0,9,3,0,1,8,0,0
74,"Department of Health and Human Services, United States of America",351,11,2342,52,63,0,31,0,5,15,32,0,1
75,"Environmental Protection Agency, United States of America",190,10,3321,75,66,3,64,3,6,11,22,9,2
78,"United States Army Audit Agency, United States of America",623,22,373,42,15,2,34,2,4,0,5,0,0
79,"National Institute of Standards and Technology, United States of America",336,8,918,10,14,0,10,2,1,1,4,0,0
80,"Department of Housing and Urban Development, United States of America",516,12,3159,22,22,1,15,2,1,8,16,7,0
81,"Office of Ayanna Pressley, Boston, MA",1031,4,0,1,0,0,0,0,0,0,1,0,0
82,"Suffolk County District Attorney's Office, Suffolk County, MA",182,5,525,14,2,0,4,0,0,1,7,1,0
83,"Department of Treasury, United States of America",223,11,815,73,173,1,28,3,5,4,16,1,0
85,"Oxford County Sheriff's Office, Maine",1,1,94,2,0,0,0,0,0,0,0,0,0
86,"Air Force, United States of America",201,9,3565,88,29,2,42,0,5,15,25,1,3
88,"Defense Contract Audit Agency, United States of America",17,3,51,5,3,0,0,0,0,2,1,0,0
89,"Defense Contract Management Agency, United States of America",534,8,376,11,10,0,4,0,0,7,5,0,1
90,"Defense Finance and Accounting Service, United States of America",547,6,28,6,0,0,0,0,0,2,3,1,0
91,"Defense Information Systems Agency, United States of America",122,6,121,16,15,0,8,0,4,8,3,0,0
92,"Defense Logistics Agency, United States of America",133,8,2419,15,12,0,13,0,1,2,8,1,0
93,"Defense Security Service, United States of America",55,3,46,14,1,0,0,0,1,8,3,0,0
95,"Defense Threat Reduction Agency, United States of America",117,7,652,9,11,0,5,1,0,3,3,0,0
96,"Department of Defense, Education Activity, United States of America",354,3,67,11,2,0,3,0,0,3,4,0,0
97,"Missile Defense Agency, United States of America",108,4,1,2,0,0,0,0,0,0,0,0,0
98,"National Geospatial-Intelligence Agency, United States of America",238,7,2288,10,0,0,3,0,1,2,8,0,0
99,"National Guard Bureau/JA-FOIA, United States of America",393,15,314,20,27,0,6,0,2,5,12,2,1
100,"National Reconnaissance Office, United States of America",169,7,2904,29,34,2,6,1,2,10,21,1,0
101,"Department of the Navy, Naval Operations, United States of America",305,9,505,50,21,2,28,0,7,8,14,0,0
102,"Department of Defense, Office of the Inspector General, United States of America",246,11,2181,162,193,0,18,0,7,19,53,2,0
103,"TRICARE Management Activity, United States of America",211,4,46,4,1,0,3,0,0,1,3,0,0
104,"U.S. Africa Command, United States of America",457,18,143,12,4,0,3,0,0,2,4,1,0
105,"U.S. European Command - USEUCOM, United States of America",71,8,238,7,4,0,6,0,0,0,1,0,1
106,"USJFCOM, United States of America",172,13,159,2,0,0,1,0,1,1,0,0,0
107,"USNORTHCOM - US Northern Command, United States of America",348,10,1485,25,11,2,5,0,4,3,11,1,0
108,"USPACOM - US Pacific Command, United States of America",193,14,106,10,32,4,8,0,6,1,3,2,0
109,"U.S. Special Operations Command - USSOCOM, United States of America",231,17,143,23,33,0,8,0,0,7,5,0,0
110,"SOUTHCOM - US Southern Command, United States of America",288,19,227,19,60,3,11,0,3,9,4,0,1
111,"US Strategic Command - USSTRATCOM, United States of America",142,9,345,16,7,0,13,0,3,3,5,3,0
112,"USTRANSCOM, United States of America",100,17,187,5,0,0,4,0,0,0,0,0,0
113,"Defense Technical Information Center, United States of America",213,8,829,12,6,1,3,0,1,1,4,0,0
114,"Legal Department, Somerville, MA",33,5,948,11,3,0,0,0,1,1,4,0,0
115,"Department of Justice, Criminal Division, United States of America",268,9,582,43,39,0,29,1,3,11,12,2,5
116,"Food and Drug Administration, United States of America",55,6,9690,98,113,0,42,2,5,10,40,4,0
117,"Census Bureau, Boston Regional Office, United States of America",34,3,1,1,0,0,0,0,0,0,0,0,0
118,"Massachusetts Bay Transportation Authority (MBTA), Massachusetts",182,8,2032,67,17,5,19,15,6,12,37,0,0
119,"U.S. Department of Veterans Affairs, United States of America",266,9,2617,32,21,1,20,0,1,15,15,1,0
120,"Small Business Administration, United States of America",445,8,155,11,4,0,7,0,2,3,6,0,0
121,"National Oceanic and Atmospheric Administration, United States of America",545,13,175,14,5,0,13,3,4,1,2,0,4
122,"Boston Public Schools, Boston, MA",191,8,161,16,8,0,0,2,0,3,4,0,0
123,"State Racing Commission, Massachusetts",5,4,4,1,0,0,0,0,0,0,0,0,0
124,"Department of Public Works, Worcester, MA",0,1,0,1,0,0,0,0,0,0,0,0,0
125,"Administration and Finance, Worcester, MA",0,2,0,1,0,0,1,0,0,0,0,0,0
126,"Boston Redevelopment Authority, Boston, MA",71,14,3382,13,20,0,9,1,0,2,13,1,0
127,"Boston Housing Authority, Boston, MA",27,5,60,8,2,0,2,0,0,2,4,1,0
129,"National Archives and Records Administration, United States of America",159,6,2231,93,63,0,54,20,2,24,40,3,0
131,"Parole Board, Massachusetts",40,6,13,5,0,0,0,0,0,3,0,0,0
132,"NYC Department of Consumer Affairs, New York City, NY",48,6,194,7,0,0,1,0,0,1,4,0,0
133,"Immigration and Customs Enforcement, United States of America",248,9,8019,166,339,13,67,5,15,26,77,3,4
134,"Newton Public Schools, Newton, MA",22,3,61,4,0,0,1,0,0,0,1,0,0
135,"Mayor's Office, Newton, MA",0,2,0,2,0,0,1,0,0,0,0,0,0
137,"Drug Enforcement Administration, United States of America",199,7,5723,192,312,10,44,14,38,59,80,4,0
138,"Executive Office of Health and Human Services, Massachusetts",247,10,8,9,0,0,5,1,0,0,1,0,1
139,"Human Resources Division, Massachusetts",82,5,10,2,0,0,0,0,0,1,0,0,0
141,"Office of the Comptroller, Massachusetts",100,9,69,18,0,0,3,0,0,5,3,0,0
142,"Department of Education, Boston Office, United States of America",14,10,1,5,0,0,0,0,0,0,0,0,0
143,"Department of Education, Office of Civil Rights, United States of America",101,6,727,33,1,0,11,0,1,17,11,0,1
144,"Barnstable County Sheriff's Office, Barnstable County, MA",13,5,60,12,0,0,0,0,0,2,3,1,0
146,"Executive Office for Administration and Finance, Massachusetts",436,5,1065,12,0,0,3,0,0,3,3,0,0
147,"Town Manager, Saugus, MA",0,1,0,1,0,0,0,0,0,0,0,0,0
149,"Somerville City Clerk, Somerville, MA",42,4,301,25,3,0,2,8,0,4,19,0,0
152,"Centers for Disease Control and Prevention, United States of America",445,10,4214,19,35,1,3,0,1,9,17,0,0
153,"Cambridge Housing Authority, Cambridge, MA",49,4,2,3,0,0,1,0,0,1,2,0,0
154,"Commonwealth Health Insurance Connector Authority, Massachusetts",248,7,1262,8,1,0,1,2,0,0,1,1,0
155,"Division of Insurance, Massachusetts",42,8,0,9,0,0,1,0,1,5,1,0,0
156,"Office of Medicaid, Massachusetts",0,0,0,0,0,0,0,0,0,0,0,0,0
159,"Office of Medicaid, Massachusetts",0,4,0,1,0,0,0,0,0,0,0,0,0
160,"Massachusetts Technology Collaborative, Massachusetts",0,4,1,1,1,0,0,0,0,0,0,0,0
161,"Executive Office of Housing and Economic Development, Massachusetts",553,11,465,9,1,0,0,0,0,3,3,0,0
162,"Department of Transportation, Massachusetts",67,6,6125,72,70,0,18,10,0,8,44,1,0
163,"MassDevelopment, Massachusetts",97,8,928,1,0,0,0,0,0,0,0,0,0
164,"MassDevelopment, Massachusetts",31,16,240,10,2,0,1,0,0,0,5,0,0
166,"Department of Justice, Disability Rights Division, United States of America",541,7,115,8,5,0,0,0,0,6,0,0,0
168,"Department of Justice, United States of America",245,7,1261,77,105,0,35,3,3,31,21,0,3
169,"Office of Temporary and Disability Assistance, New York",57,6,4,1,0,0,0,0,0,0,0,0,0
170,"National Air and Space Intelligence Center, United States of America",102,10,14,10,3,0,1,0,0,2,1,0,0
171,"Massachusetts Clean Energy Center, Massachusetts",125,12,447,3,0,0,0,0,0,0,0,0,0
173,"Office of Strategic Planning and Community Development, Somerville, MA",63,5,52,13,1,0,0,2,0,2,5,1,0
174,"Boston Police Department, Boston, MA",168,11,2743,199,69,14,28,12,9,41,86,5,2
175,"Department of Revenue, Massachusetts",72,5,178,15,5,0,5,0,1,5,10,1,0
176,"Property & Construction Management, Boston, MA",30,6,0,1,0,0,1,0,0,1,0,0,0
177,"Department of Transportation, New York",145,7,45,7,2,0,0,0,0,1,5,0,0
178,"NYS Department of Civil Service, New York",0,1,0,1,0,0,0,0,0,0,0,0,0
179,"Somerville Housing Authority, Somerville, MA",226,5,303,7,1,0,0,0,0,2,1,0,0
181,"Office of the State Comptroller, New York",511,13,178,11,2,0,1,0,18,0,77,0,0
182,"U.S. Citizenship and Immigration Services, United States of America",188,9,4640,64,63,2,31,16,9,8,30,2,2
184,"Special Inspector General for Afghanistan Reconstruction, United States of America",69,5,572,18,18,0,4,0,1,3,11,2,0
185,"Cambridge Law Department, Cambridge, MA",182,16,0,3,0,0,0,0,0,1,0,0,0
186,"Cambridge City Clerk, Cambridge, MA",95,9,311,21,7,0,3,8,1,4,4,0,2
187,"Office of National Drug Control Policy, United States of America",382,5,438,23,7,0,0,0,1,3,7,0,0
188,"National Cancer Institute, United States of America",164,8,103,7,7,0,4,0,0,2,5,0,1
189,"Army, Office of the Chief of Chaplains, United States of America",187,16,16,5,0,0,2,0,0,1,0,0,0
190,"Mayor's Office of Media and Entertainment, New York City, NY",34,3,17,6,0,0,1,0,0,1,2,0,0
191,"Elections Division (Secretary of State), Massachusetts",39,6,113,13,0,0,6,0,1,3,6,0,0
192,"University of Massachusetts, Massachusetts",10,3,2,16,1,0,2,2,0,6,0,0,0
193,"University of Massachusetts (Amherst), Massachusetts",206,7,564,8,1,0,4,5,0,3,2,0,0
194,"Office of the Governor - New York, New York",53,5,1263,35,26,0,7,0,1,9,7,0,1
195,"Massachusetts Emergency Management Agency, Massachusetts",0,39,0,3,0,0,0,0,0,0,0,0,0
196,"University of Massachusetts School of Law, Massachusetts",280,13,9,2,1,0,2,0,0,0,1,0,0
197,"National Labor Relations Board, United States of America",65,4,1297,15,4,0,2,1,0,2,6,0,0
198,"Broadcasting Board of Governors, United States of America",335,6,34529,13,15,0,2,6,1,2,10,4,0
199,"Press Office, Boston, MA",53,12,37,9,6,0,1,3,0,0,2,0,0
201,"Department of Justice, Office of Professional Responsibility, United States of America",211,7,1727,16,4,1,9,0,2,5,2,2,0
202,"Social Security Administration, United States of America",140,6,362,17,22,0,2,1,3,4,5,0,0
203,"Office of the Attorney General - New York, New York",142,5,1874,16,4,0,0,0,1,3,11,0,0
204,"Air Force, 25th Air Force, United States of America",381,12,227,25,6,0,18,1,2,15,6,0,0
205,"Bureau of Reclamation, Lower Colorado Region, United States of America",40,6,204,4,0,0,1,0,0,1,1,0,0
206,"Federal Energy Regulatory Commission, United States of America",42,4,474,12,12,0,3,0,0,0,16,0,0
207,"Mayor's Office, Communications, Somerville, MA",6,3,59,1,0,0,0,0,0,0,0,0,0
208,"Washington State Criminal Justice Training Commission, Washington",5,3,126,4,0,0,1,0,1,2,2,0,0
209,"National Personnel Records Center, United States of America",96,4,174,17,1,0,3,0,1,9,9,0,0
210,"Cambridge Police Department, Cambridge, MA",78,10,126,36,12,0,9,6,3,5,8,2,0
211,"Washington State Patrol, Washington",67,8,1859,12,12,0,7,1,0,3,14,0,0
212,"Office of the Governor - Washington, Washington",94,20,183,4,0,0,0,0,0,1,0,0,0
213,"Department of Defense, Biometrics Identity Management Agency, United States of America",38,4,21,4,0,0,1,0,0,3,2,0,0
214,"Boston Licensing Board, Boston, MA",16,3,53,6,0,0,1,1,0,1,5,0,0
215,"Coast Guard, United States of America",269,10,682,38,21,2,16,0,7,19,16,0,0
216,"Office of the Parking Clerk, Boston, MA",14,28,634,4,0,0,3,0,1,0,0,0,0
217,"U.S. Army, Dugway Proving Ground, United States of America",31,9,30,6,4,0,2,0,1,0,2,0,0
219,"City Council, Seattle, WA",82,8,951,12,7,0,5,0,1,1,12,8,0
220,"Department of Planning and Development, Seattle, WA",22,4,200,4,3,0,1,0,0,1,3,0,0
221,"Federal Housing Finance Agency, United States of America",114,7,938,5,3,0,0,0,3,0,4,0,0
222,"Somerville Historic Preservation Commission, Somerville, MA",0,15,0,1,0,0,0,0,0,0,0,0,0
223,"Federal Retirement Thrift Investment Board, United States of America",30,3,9,5,0,0,2,1,0,0,1,0,0
224,"National Aeronautics and Space Administration, United States of America",42,4,410,42,6,1,18,0,11,5,9,0,2
225,"Bureau of Alcohol, Tobacco, Firearms and Explosives, United States of America",519,16,89,42,51,0,20,0,0,9,3,0,0
226,"US Army Test and Evaluation Command, United States of America",1149,16,2366,9,6,0,6,1,2,4,1,1,0
227,"Seattle Police Department, Seattle, WA",129,7,9823,156,98,11,18,31,15,16,80,29,0
228,"Department of Health, Washington",145,6,2110,4,1,0,1,0,2,1,1,1,0
230,"The Massachusetts Historical Commission, Massachusetts",0,3,5,1,0,0,0,0,0,0,0,0,0
231,"Department of Youth Services, Massachusetts",74,8,40,5,3,0,2,2,0,2,3,0,0
232,"Department of Natural Resources, Washington",109,6,246,3,1,0,0,0,0,1,0,0,0
233,"Parks and Recreation Commission, Washington",0,6,0,2,0,0,2,0,0,0,0,0,0
234,"White House, United States of America",0,1,3,14,0,0,1,0,2,0,0,0,0
235,"Smithsonian Institution Office of General Counsel, United States of America",68,3,169,13,5,0,2,0,1,3,5,0,0
236,"Department of Homeland Security Office of Inspector General, United States of America",137,10,2230,33,9,0,27,1,1,3,10,5,1
237,"Internal Revenue Service, United States of America",412,6,1777,102,93,0,36,0,34,9,33,0,0
238,"Federal Law Enforcement Training Center, United States of America",64,5,406,14,4,0,4,3,9,2,6,1,0
239,"Department of Health and Human Services, Centers for Medicare & Medicaid Services, United States of America",452,19,1584,25,24,0,9,0,2,1,9,2,1
240,"Securities and Exchange Commission, United States of America",113,10,4919,53,49,3,43,1,7,7,37,4,0
241,"Office of the Mayor, Seattle, WA",132,11,124,16,31,0,9,4,0,4,10,1,0
242,"U.S. Patent and Trademark Office, United States of America",57,6,918,23,36,4,18,1,0,3,20,0,0
245,"Office of Strategic Planning and Community Development Annex, Somerville, MA",18,7,4,1,0,0,0,1,0,0,0,0,0
246,"Department of Transportation, Seattle, WA",14,4,124,6,2,0,3,0,0,0,3,0,0
247,"Department of Parks and Recreation, Seattle, WA",10,3,108,9,0,0,4,0,0,1,5,0,0
248,"Test Agency, United States of America",388,37,1,6,0,0,0,0,0,0,0,0,0
249,"Inspectional Services Division, Building Permits, Somerville, MA",38,15,50,2,0,0,2,3,0,0,0,0,0
251,"Mayor's Office of Contract Services, New York City, NY",24,4,99,10,5,0,0,0,0,10,1,0,0
253,"Health and  Human Services Department, Newton, MA",0,2,0,1,0,0,1,0,0,0,0,0,0
254,"Saugus Public Library, Saugus, MA",105,11,0,1,0,0,0,0,0,1,0,0,0
255,"Health Department, Wellesley, MA",0,3,0,1,0,0,2,0,0,0,0,0,0
257,"Massachusetts Department of Criminal Justice Information Services, Massachusetts",561,28,6,4,0,0,0,0,4,1,0,0,0
258,"Wellesley School Department, Wellesley, MA",164,5,15,5,0,0,0,0,0,0,0,0,0
259,"Health Department, Wellesley, MA",0,0,0,0,0,0,0,0,0,0,0,0,0
260,"Council of the Inspectors General on Integrity and Efficiency, United States of America",187,12,1045,9,6,0,0,0,0,7,12,6,0
261,"Railroad Retirement Board, United States of America",74,3,81,4,2,0,0,0,1,0,3,0,0
263,"City Clerk, Bullhead City, AZ",12,3,1,2,0,0,0,0,0,0,0,0,0
265,"Los Angeles Police Department, Los Angeles, CA",119,6,239,48,19,0,10,4,7,5,11,0,0
267,"Division of Health Care Finance and Policy, Massachusetts",37,37,0,1,1,0,0,0,1,0,0,0,0
268,"Library of Congress, United States of America",0,2,116,9,4,0,0,0,4,1,3,0,0
269,"U.S. Census Bureau, United States of America",48,5,111,19,12,0,6,2,2,2,5,0,0
270,"Mayor's Office, Washington (D.C), DC",19,8,14,11,1,0,6,0,0,1,0,0,0
