id,name,avg_resp_time,avg # comms per req,total pages,total requests,# awaiting response,# awaiting appeal,# fix required,# payment required,# rejected,# no responsive docs,# completed,# partially completed,# withdrawn
18918,"Aastad, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
19657,"Abbeville, MS",0,0,0,0,0,0,0,0,0,0,0,0,0
2269,"Abbeville, SC",0,0,0,0,0,0,0,0,0,0,0,0,0
4989,"Abbeville, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
794,"Abbeville, AL",32,8,16,3,0,0,0,0,0,1,0,1,0
16392,"Abbeville, LA",0,0,0,0,0,0,0,0,0,0,0,0,0
2225,"Abbeville County, SC",0,0,0,0,0,0,0,0,0,0,0,0,0
6013,"Abbot, ME",0,0,0,0,0,0,0,0,0,0,0,0,0
8645,"Abbotsford, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
29026,"Abbott, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
31065,"Abbott, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
27322,"Abbottstown, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
14786,"Abbyville, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
23900,"Abercrombie, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
6778,"Aberdeen, NJ",0,0,0,0,0,0,0,0,0,0,0,0,0
16554,"Aberdeen, MD",0,0,0,0,0,0,0,0,0,0,0,0,0
25281,"Aberdeen, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
19694,"Aberdeen, MS",0,0,0,0,0,0,0,0,0,0,0,0,0
8275,"Aberdeen, WA",0,0,0,0,0,0,0,0,0,0,0,0,0
29298,"Aberdeen, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
4034,"Aberdeen, NC",0,0,0,0,0,0,0,0,0,0,0,0,0
10717,"Aberdeen, ID",0,0,0,0,0,0,0,0,0,0,0,0,0
30981,"Abernathy, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
22031,"Abie, NE",0,0,0,0,0,0,0,0,0,0,0,0,0
4666,"Abilene, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
2789,"Abilene, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
